1,Barcode ,Type
2,8656020726561,Type1
3,8656020726608,Type1
4,9556404007035,Type1
5,8656020816217,Type1
6,8656020816163,Type1
7,8656020816194,Type1
8,8656020726288,Type1
9,8801056179502,Type1
10,8656000427181,Type1
11,8809267230982,Type1
12,8809267231002,Type1
13,4260952510095,Type1
14,8656003001173,Type1
15,8809479110089,Type1
16,8656021373115,Type1
17,8656021373139,Type1
18,8656021373191,Type1
19,8656021373184,Type1
20,8656170005844,Type1
21,5907467912028,Type1
22,5907467912103,Type1
23,5907467912073,Type1
24,5907467912059,Type1
25,8656021373368,Type1
26,8656021373092,Type1
27,8656170005011,Type1
28,8656170005882,Type1
29,8656021373108,Type1
30,8656021373023,Type1
31,8656170005875,Type1
32,5900500037047,Type1
33,5900500037122,Type1
34,8656020844388,Type1
35,8887333190033,Type1
36,8887333190118,Type1
37,8887333190101,Type1
38,8887333110116,Type1
39,4870144475189,Type1
40,4260952510934,Type1
41,9556404024032,Type1
42,9556404025039,Type1
43,4870144474717,Type1
44,4870144473758,Type1
45,8656170005066,Type1
46,8656170005813,Type1
47,8656021373153,Type1
48,8656170005073,Type1
49,5901886023617,Type1
50,8656170005899,Type1
51,8656170005929,Type1
52,8656170005912,Type1
53,8656170005905,Type1
54,5901886010198,Type1
55,5901886010181,Type1
56,8656021270032,Type1
57,8656021270261,Type1
58,8656021270063,Type1
59,8656021270209,Type1
60,8656021270292,Type1
61,8656021270018,Type1
62,8656020844326,Type1
63,8656020844319,Type1
64,8656020844494,Type1
65,5999565270391,Type1
66,5900500024337,Type1
67,5900500028083,Type1
68,4800062210104,Type1
69,4800062210302,Type1
70,8656021318116,Type1
71,4870144475905,Type1
72,74854382742,Type1
73,4901306046012,Type1
74,4901306055076,Type1
75,4901306043141,Type1
76,4901306075562,Type1
77,4901306043165,Type1
78,4870144473499,Type1
79,5900500035678,Type1
80,4901306077542,Type1
81,4901306053492,Type1
82,4901306024737,Type1
83,5901067401548,Type1
84,5901067400268,Type1
85,5901067403306,Type1
86,5901067404921,Type1
87,5901067404907,Type1
88,5901067400886,Type1
89,5901067402996,Type1
90,4870144470146,Type1
91,4870144472461,Type1
92,8656020816484,Type1
93,8656020816491,Type1
94,8656020816521,Type1
95,8656020816552,Type1
96,8656020816569,Type1
97,4600494509667,Type1
98,8801056024642,Type1
99,8801056067779,Type1
100,8801056019952,Type1
101,8801056048334,Type1
102,8801056717018,Type1
